"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S","T"
"C33",0.00165070490118372,0.00240363357217222,0.00223105272697934,0.037743182250009,0.00326663327297155,0.00861814210463049,0.013603736514488,0.013384150409001,0.00310201852966415,0.00163897483109302,0.0100767773633654,0.00146484431703175,0.00369332752323974,0.0117505153884562,0.0178445783542807,0.0119459077466857,0.0048281035768076,0.00905556657859143,0.0110620914201621,0.00927730261176229,0.00828393563581397,0.00593419751063249,0.00960539522284538,0.0169450862784194,0.00382082346036233,0.000375900978441895,0.00113450450725394,0.000407652080421318,0.000552500342856994,0.000779255753486805,0.00703955902118636,0.00948901377567995,0.0429647994121167,0.000779628062540312,0.000233369962752032,0.000498190134663405,0.000342864409485537,0.00128419138521749,0.00968441855277642,0.00059256384650006,0.000149697242476626,0.000176455864808895,0.000152420696431488,0.000755629105488751,8.83710266420406e-05,0.00031774968676019,0.00542181889216933,0.000183163333870081,0.00240024057164049,0.000802681604534373,0.00232744686741694,0.000609438135250748,0.00166639985123424,0.000210019893576737,0
"D35",0.0241588326387242,0.00411344459707249,0.0237406677118358,0.0283561141327288,0.0152381963215902,0.0166679413886022,0.0185832595660042,0.0411824513432375,0.0147528775757249,0.00997220811029979,0.0271271195379529,0.00759164418175792,0.0202696399244609,0.03866680440855,0.0391618023127317,0.0139112043142376,0.00794592999676085,0.00809840193731574,0.00719029632715668,0.00644797658995931,0.00581969782855451,0.00787291909761936,0.00629504960949463,0.141957443901294,0.0526847264037178,0.00829860162566443,0.00628790919163945,0.0106667887102667,0.00816070012442543,0.0226663724855392,0.0213092701833039,0.00105032703325479,0.00189410913204323,0.00602355263827707,0.00846051792674525,0.0256478147075214,0.00634080821752,0.00529264753563372,0.0120934722190445,0.0035296811030411,0.00661597572293549,0.00539437562786332,0.00542152495145773,0.00470139219602303,0.00537133133113884,0.00499139571236011,0.0114905858193197,0.00351571328134003,0.00804290016811301,0.00590309568422986,0.00905990113960554,0.0072987056984636,0.0109065482549252,0.0113615434157098,0
"E36",0.00224056507839271,0.000333589601645647,0.00185617373064143,0.00196048954871825,0.0012052354752187,0.000980674559627023,0.000735580989632103,0.00309945826912219,0.000429959556188963,0.000237135591667995,0.00118705231413309,0.000562237542514486,0.00163678426671161,0.00182993293171467,0.00184296398091188,0.00115114514430546,0.0004024175160513,0.000435236049132238,0.0003730168890412,0.000303498457153799,0.00023587571224666,0.000415702977408838,0.000326455463924864,0.00131192172280158,0.00167821344878997,0.00451377605512114,0.000413842303188847,0.000403183430618811,0.00020738182847823,0.000578870565118368,0.000380215610724913,6.0327120002488e-05,0.000108459847616126,0.000248252383979767,0.000381600186103021,0.00200812522687935,0.000385064530828327,0.000194830721108052,0.000365502764076928,0.000199745246622805,0.000286769185704642,0.000294988084499986,0.000126074209052215,0.000213522267372023,0.000404023917482504,0.000350448598050434,0.000617684774764301,0.000347882886353736,0.000659897376666125,0.000400522615825775,0.000674662627218453,0.000646072888005931,0.000701481054012152,0.00151964654450444,0
"E37-E39",0.0159943232860536,0.00229981530422047,0.00407368773386313,0.0119884762905316,0.00857866321798413,0.00702886775030562,0.00884962810492251,0.0355940388277444,0.0012487027425019,0.00076095263326585,0.0063229328927398,0.0051548480512412,0.0258222111816979,0.0129444550561952,0.0221322500694205,0.0141481660115993,0.00126113653471889,0.00139509859436973,0.00126213592030643,0.00123441568706993,0.000837459930248067,0.00308890782964128,0.00114707909610818,0.00195977838874662,0.0232811095611073,0.0912039046815847,0.00125149306499569,0.00151879573986868,0.000918428326173504,0.00413734823894464,0.000989828236996932,0.000136499455897753,0.000238106817495607,0.000923520683050707,0.0011152833534459,0.00776561804149992,0.00134206789703498,0.00078937318276503,0.00122840793205744,0.000865559492975876,0.00140242882588326,0.00107743060698258,0.000392531333897558,0.00058046698200935,0.0012362693517117,0.00108094717519521,0.0025465830490662,0.00110468283346535,0.0022196951237678,0.00212613277919549,0.00673664636980546,0.00125461362314559,0.00283579801953768,0.00465331344318714,0
"F",0.0158564513487548,0.0186091385674909,0.0236912611781102,0.0208763210331661,0.00658370135349859,0.00914335993468951,0.00877275107283818,0.00644820514698517,0.0104942188921432,0.00353895283962162,0.00749244765610321,0.00971073725226489,0.00577722184353824,0.0121054664884893,0.00887675845833428,0.00511697110191653,0.00488463089135335,0.00411899702135604,0.00395841933605321,0.00365118928359926,0.00306652757236771,0.0047988499935714,0.00343571281951264,0.023766710920016,0.0320630251814769,0.0459552264983881,0.0616951454612912,0.00672885909474091,0.00402540175232047,0.00925278129592294,0.00874423058984055,0.00187378304664077,0.00224041069684038,0.016667784299383,0.0123096342264864,0.0174181290939556,0.00858062227069894,0.00890111437194022,0.0147612958797237,0.00430248991131592,0.00868306011818317,0.0100335513964958,0.00086821710894867,0.0738903101707944,0.00883011223684793,0.00684580984287051,0.0090509230523426,0.00854408404322014,0.0171608835507101,0.00933463444745084,0.0240979068627139,0.0104297219097697,0.0123651284991422,0.0102801258946676,0
"G45",0.0025068183071166,0.0027297995763885,5.72441684376245e-05,0.00269642739353156,0.00131878767769837,0.00120454671293719,0.00306681376094207,0.00135243896736479,0.00144389159899854,0.00040648703723016,0.000873823738294607,0.00133905201696539,0.00092400179749176,0.0031927227310616,0.000633922884985306,0.00132851116176301,0.00138821387163182,0.00139370457245103,0.00520584546399053,0.0378432690540535,0.0166998261545115,0.00162370848791279,0.00135201370998651,0.000991322661069098,0.0018108763448727,0.00599087066328602,0.0020226239351689,0.023167760398863,0.0020727860112903,0.00979490639467965,0.0146364200814161,0.000486674448888982,0.000244609030199893,0.0162382489433078,0.0517945258644294,0.0023123984077369,0.00173780131117223,0.000775109120465191,0.00255697208796598,0.000668204005736954,0.000482526117621245,0.000719738786426065,0.00126138204917416,4.69419622555229e-05,0.00113956050108914,0.00101426971827925,0.00229555809670918,0.00177942645349281,0.00304488903504299,0.00260373854191139,0.00263710933946334,0.000843245394745247,0.000903890416793284,0.000801074824826518,0
"G46",0.0557444767664447,0.033596056043907,0.0436753940996306,0.0187161053892958,0.0439338634995339,0.0592141587228562,0.0465057654472593,0.0289068052145099,0.016536383103012,0.020592381492544,0.0223908441392525,0.0250935643935721,0.0192103776482678,0.0364686340595163,0.0259494160005254,0.0256464810983089,0.0422515210092487,0.0304549162965497,0.0248280166702522,0.0164448859998582,0.01825337303273,0.0525975266630674,0.0413448469954883,0.0124052902974838,0.0146556032932596,0.0258131781098392,0.0436581344656186,0.00802705711422616,0.0171987141213536,0.0177570843784123,0.00710940259052115,0.00692854802066071,0.000803539811269208,0.00433605614364288,0.00492800746071229,0.0297788933356802,0.00645771941568077,0.00285320971500932,0.0130604123619262,0.00439789562431592,0.00213663256148013,0.00178783874959284,0.0021963165253649,0.000239574709739421,0.00263676033827278,0.00471000401167638,0.00781785085914291,0.00452043051701423,0.00773225157260305,0.00370298771808621,0.0078645819821302,0.00316787293072496,0.0173450294046857,0.00749003525549586,0
"G47",0.0353114165169592,0.0152774357852781,0.0364980051746858,0.00594599129312662,0.0347651628928227,0.0429957083086198,0.0231779149485117,0.0055769151644531,0.00533580536515716,0.00137102679924409,0.007581167897425,0.00602156388556231,0.00949949404632923,0.00830614171999036,0.00289437344442208,0.00781653095500476,0.0232289906707127,0.0116077488408171,0.0058637237589256,0.00798566342417072,0.0145466089596329,0.0216107793324326,0.0133520371581731,0.00311975407859705,0.0040716741271919,0.00305044232521441,0.0140344640121379,0.00372022387029971,0.003338536477873,0.00595497856580365,0.00377226407434641,0.00485594695392059,0.000340279722746061,0.00256548343528187,0.00314928449054693,0.0401174687234143,0.00677381422857695,0.00231007456226853,0.00389812695849719,0.0023494973847269,0.00106990069499345,0.000988230083238093,0.00186778276493381,0.000188283537521071,0.0026533247551248,0.00382971522704418,0.00420904906054093,0.00427409891119206,0.00805463766261569,0.0027188047297493,0.00611042475098358,0.00393127481704562,0.0237468868572718,0.0118478187594795,0
"H49",0.00488309927125064,0.00599622478432369,0.000927112083285191,0.015991694439859,0.0153155770440129,0.00743675732617625,0.0213413542887905,0.020675821881006,0.00310234943631647,0.0191427889106511,0.0149502567241742,0.0050188166639444,0.0116420440091933,0.0393490430566089,0.026307417706565,0.00515624222584994,0.00877492566451262,0.00610998588521487,0.00658670222554848,0.00951635955453006,0.00378459641987342,0.0141450522279539,0.00577085402476329,0.0274234456942297,0.00752971108609972,0.00256754550407765,0.00285346381637096,0.00326838009851397,0.0501447533217629,0.0164248349447719,0.0486395933281793,0.0203626655338638,0.00830702987963289,0.120247684087359,0.00913266194756246,0.000982320686723396,0.0110634715463729,0.00478199657787511,0.000964468000875653,0.00278048905899949,0.00210198684425964,0.00142058068444348,0.00116447043195942,0.000243271041765063,0.000480232501081729,0.000555956644494066,0.0177784988308869,0.000218357659740772,0.00197218446057096,0.003279063485344,0.0103473542803214,0.0330332858212723,0.000568466970494091,0.00391796119073063,0
"H50",0.000382656475201741,0.000291192878084969,0.0090506599083825,0.00402452801644044,0.000445729356338828,0.00031445957810997,0.000309343231567228,0.000411129920165562,9.86914238798045e-05,0.000887887106053444,0.00112622527259506,0.000182712638402548,0.000301498024357546,0.000674323818456547,0.000892218768114129,0.000179602245511133,0.000367651965689003,0.000265848378186257,0.000216183009096606,0.00019799631053112,0.000124762868132918,0.000351324508254115,0.000219215875993978,0.000976945071904015,0.000210323778565349,0.000179820558462615,0.00024724556472966,0.000110526862631868,0.00260937990371352,0.000301751767208771,0.00105900958098994,0.0584314507011488,0.00115443180678625,0.00239996313447795,0.00096212666849384,0.0001773365912518,7.0513883168242e-05,3.25606043796541e-05,0.00010225015640794,4.51278028352644e-05,5.1394056053077e-05,3.10856721333444e-05,2.19791605159678e-05,2.66721807557437e-05,4.70582458058682e-05,6.10758822484692e-05,0.000164197595587268,4.48864485072457e-05,0.00010288467970031,0.000243958292164908,9.06673296380856e-05,6.65666855652461e-05,7.95696522081165e-05,4.73663658234212e-05,0
"H51",0.000245565175150496,0.000186905970284445,6.93754045529693e-05,0.00181023124667878,0.000586192086214292,0.00115766051544368,0.00104899179240139,0.00100709055463183,0.000642788829173597,0.000377678822302893,0.00142884907679312,0.000959589591350734,0.000851045749133373,0.000946197303726307,0.000538256029482361,0.000875468481578175,0.00536628873976391,0.00148856930843635,0.00207472694376081,0.000974205765906964,0.00205686461347292,0.00241653153765934,0.00198591143099252,0.000270475159968888,0.000272219337023228,0.000477775592719625,0.00030901997235236,0.000342642570817469,0.00106577960962371,0.000672191396251499,0.000339106933630619,0.000557130135309878,0.010301484082234,0.00055627177284554,0.00394011695925104,0.00018326974601576,0.00226631136436838,0.00264235751079893,0.00111750941977342,0.00155495461590295,0.00171617105947771,0.00109457645414195,0.000227208281498315,5.02297205619384e-05,0.00128569683328773,0.00210570553744854,0.0018196732316376,0.000945479277440457,0.00375856866969488,0.00120754850628303,0.00215805696211517,0.000245375441346341,0.000212919069707878,0.000988886320516736,0
"H52",0.00438365702091156,0.00161238958537112,0.010679334604978,0.00616991526203602,0.0283022097691873,0.0069143451859076,0.0104681775735986,0.0052168870861607,0.00250047264257617,0.0122493812506791,0.0083980734716139,0.0032314785220778,0.010745333134904,0.0188121828769972,0.00625642518707321,0.00556380655750739,0.0115298276893811,0.00733949686012359,0.0111137024160191,0.0111534544606416,0.00258890877282442,0.00908293928609579,0.0070885167320441,0.00552351749530119,0.00396440393955387,0.00455701585282899,0.00358053260391745,0.00571610620251192,0.110169517949406,0.0191596641281209,0.135969702530389,0.342823233873445,0.155061157057776,0.228443759409715,0.203686961108362,0.00364217183881313,0.00198686536288172,0.000635423902044722,0.00239407689644314,0.000960910383066552,0.000711281367031549,0.000316856391634277,0.000391535750406139,0.000149521365591825,0.00129582181491153,0.00123099238523514,0.00759055336554279,0.00122852011940344,0.00471049332278206,0.00228043332549706,0.00175082858231442,0.00278003355733496,0.00027520651215978,0.000687692839540044,0
"H53",0.000153760381881128,0.000212776090841844,0,0.0021902306907453,0.00141455721206135,0.0040933460852069,0.000452146608761833,0.000939296755319647,0.00493046467173905,0.00148375665473828,0.0059372147448817,0.00887567950851088,0.00237109474568996,0.00106483873694256,0.000488199781214303,0.00244056022363384,0.00782396468565707,0.00664627108874162,0.00580040595673343,0.00202439908736113,0.00177502719575592,0.00562654261232321,0.00444411377067528,0.00204475918281033,0.00160745728988948,0.00131628747632281,0.000383881411146298,0.00347199692485853,0.0117918067807987,0.047612273987235,0.0106976062677861,0.000426343444337857,0.0027887526143255,0.00256740784684457,0.00548199418522857,0.00870841847902226,0.00703274489910483,0.00253068044503429,0.0232364330727201,0.00181494276029713,0.00410535571491716,0.00694191115676499,0.00836484911689502,0.000118188515918651,0.00313880634019525,0.00213386534683434,0.00353090825955518,0.00420982312094943,0.0058764632044452,0.00433004108134989,0.00390121715028172,0.000301796712180704,0.00162817027497348,0.00276289825631278,0
"I",0.000227392723216179,0.00017718638409425,0.00140361558297321,0.000571462191441226,0.000414933149155048,0.000443674427092962,0.000179387837381313,0.000146563863894538,0.00029858680518292,0.000225543165442117,0.000874783735137019,0.000345020083221086,0.00046319397248915,0.000251480137690109,0.000177162287527531,0.000963282136048853,0.000918536219135304,0.000665474808286687,0.000918493911421882,0.000351283498260075,0.000287839371108041,0.000450402700986549,0.000660978261199333,0.000253078051669514,0.000211516204027752,0.000241885812090831,0.00135491712835089,0.000323873280911262,0.00169824655997493,0.0011205943867343,0.00286756134203721,0.000428966100755454,0.00813233203841048,0.00187988767708733,0.000184279469832666,0.000669813461516659,0.000970631135512198,0.00318597222238642,0.00136419555607148,0.000764271183071877,0.00144245557831495,0.000601836934706165,0.00503557518871835,0.000136873535443306,0.000547399377044206,0.000372495910076562,0.000580401330215586,0.000450746890271812,0.000683284945542496,0.000769024371131769,0.00126273566903526,0.000192065540713543,0.000405087938932029,0.00260073041996661,0
"J58",0.000356637636503505,0.000530029310529078,6.4420608734935e-05,0.000626407984001378,0.00103682208613642,0.00110853125373016,0.000162023931320069,0.00131871303465853,0.00261312249423557,0.000800651305672774,0.00176993673568323,0.00345794970751342,0.000988869905761213,0.00153021929957161,0.000788030904789528,0.000955592185093023,0.00237518564663726,0.00126474899795342,0.000979032099112274,0.00135077159331053,0.00134928335508544,0.00103949415652339,0.00115674171941433,0.000855773562334818,0.00202626110942996,0.00668912905313543,0.000567799470466605,0.00178861498549016,0.00139704340815162,0.00484528014030784,0.00165007863301991,0.00091041060902441,0.00102578089670938,0.00119175629108292,0.00215787481310657,0.00572799551719428,0.0287238912828173,0.0071393717275042,0.00412795264427812,0.00781693822732581,0.00314547741532715,0.00371404394122856,0.0058030709626743,0.000501917916004058,0.00812633984968867,0.0103972135779441,0.00844537412659944,0.0104087685726362,0.0203531691092456,0.0050445060937816,0.00645135698076099,0.00962550114618054,0.00433760683142154,0.00983784118947608,0
"J59_J60",3.2682386345281e-05,4.05968664943211e-06,3.20411967946616e-06,0.000128162038361486,1.0164127748578e-05,1.56297747238702e-05,8.26707153968351e-06,2.16656788857109e-05,0.000116873240643304,3.1799629352016e-05,5.45485158437942e-05,9.4335076136032e-05,1.85344168695744e-05,4.97335682381565e-05,2.72190267765006e-05,3.56320860705774e-05,5.26706615960688e-05,4.13616540100059e-05,3.81344324128457e-05,4.72744098163167e-05,8.41876657152138e-05,4.14154006561046e-05,5.7630211786934e-05,0.00018673295565426,0.00013370990127355,3.89161458299729e-05,2.55331071790538e-05,4.02243310395633e-06,5.52787514720802e-05,0.000149763841509636,7.42044521609802e-06,2.51365837448894e-06,0.000315538088647941,1.46057913303723e-05,1.23076922463685e-05,0.00473694056464516,0.00154835339699833,0.179034615103911,2.34656572545808e-05,0.000975241409866216,0.000324387113931332,0.00141861495088758,0.000136803527751254,2.4090653257675e-05,0.00175149129848784,0.00123782873384378,0.000284145950037751,0.136106019226865,0.00289361435559115,0.000738310094169937,3.47549695120317e-05,0.000285268044724617,0.00069469954988921,0.00249486405024948,0
