"","A01","A02","A03","B","C10-C12","C13-C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31_C32","C33","D35","E36","E37-E39","F","G45","G46","G47","H49","H50","H51","H52","H53","I","J58","J59_J60","J61","J62_J63","K64","K65","K66","L68","M69_M70","M71","M72","M73","M74_M75","N","O84","P85","Q","R_S","T"
"C30",0.000356958767271323,0.000301492546301614,0.0210308922069851,0.000913700926005178,0.000406930723522898,0.00054841291324277,0.000467029112477724,0.00039652477417034,0.000693468711111009,0.000311551099881504,0.000165595765837317,0.00133295159870647,0.000906239928270611,0.000924997491444887,0.000767614586633084,0.00141251167169771,0.00172981439465426,0.00101783885604437,0.00253943088433067,0.00463121834427002,0.039274474674264,0.00102869340931434,0.0103182809575171,0.000323491198998775,0.00122674746406634,0.00209059538827177,0.00127685874065387,0.00103556123409869,0.000850484292307212,0.000757764631795502,0.00105004230884299,0.00440488109965186,0.0388982163456415,0.00114643197842179,0.000661066433835607,0.000674206642853268,0.00107819006920907,0.00176946562588749,0.000888949918408836,0.000965543287609445,0.000214728269390129,0.000118086532646958,0.00047399337374688,0.000218241855865536,0.000993871775335575,0.00101819274544561,0.00214192536740647,0.00135212908691663,0.00114396477498061,0.00165956884128709,0.000535024057000884,0.000400881055105041,0.000585485258754985,0.00137182229318985,0
"C31_C32",0.000576999089362191,0.000347993568960065,0.00396797078349452,0.000482195648488503,0.00116067043270967,0.00240581519615818,0.0169168451686138,0.00119578203911796,0.00317819490557571,0.00088993835962527,0.00163881559497918,0.00517791931079722,0.00299878988835069,0.00205857741799052,0.00292347950864635,0.00550402465873582,0.00824485924564001,0.00255843803359875,0.00473998046241115,0.00665768057828725,0.00637040441597897,0.116798272857983,0.00388887255690455,0.000407867668409514,0.000806712016009928,0.000739624946262631,0.00403263650974482,0.00173293147599159,0.00278324719031253,0.000715568420594358,0.000757567883926066,0.00861279687127698,0.0113261299324743,0.00168673056720465,0.00196756685793512,0.00122598163050232,0.00350269766621741,0.00170637034814359,0.00110699352505598,0.00195540021651236,0.000129772176673595,0.000115085440567497,0.00276183732396657,0.000798131353385982,0.00150620074826369,0.00151531985678012,0.000801685000539611,0.00316561372707098,0.00205225416702443,0.002782794008532,0.000906359128139384,0.000257742141347945,0.0131700997373082,0.00305396725295571,0
"C33",0.00758908821875496,0.00335309396856854,0.00646429793241383,0.00174354981126636,0.00113429906390423,0.00117339161151625,0.00238228037969081,0.00204695499376752,0.00276814478737344,0.00239154916197053,0.000397994386113979,0.00108051398032721,0.00306475345784642,0.00349022239541407,0.00162725012124824,0.00561408655661243,0.00729954752367369,0.00435570770627839,0.00543507865955358,0.00379259334350393,0.00718650242413403,0.00222796268667159,0.00861002031614717,0.00114756301169284,0.00235514166550238,0.00723030852451616,0.00738966677051432,0.00186455843909236,0.00227562539955116,0.000684830309193348,0.00109274432524268,0.00287805875894601,0.00873585840398201,0.00287887921763539,0.00646667848683089,0.000813354158791017,0.00707104410394479,0.00454217663325921,0.00945088083277904,0.00176912579448864,0.000127874028346964,0.0001237870643083,0.00264258806875079,0.00070005493912003,0.000344308532273907,0.00280315885080236,0.00212650885626752,0.00247835753256536,0.00197742343993275,0.003619858225783,0.00186453318694092,0.0009708721699566,0.00217006775984152,0.00246605855316358,0
"D35",0.0182540655131567,0.00335082265670971,0.0337452538204454,0.0179621423626446,0.0161712880377271,0.010964112724889,0.0186076611850221,0.0707226491532768,0.0197791144976894,0.0204175700428634,0.0337801568773185,0.0111951958238059,0.0243235930622778,0.0385551184938077,0.0516610338366238,0.00871896555587605,0.0137723208241924,0.00596758618305906,0.0118199644847444,0.00927180570917175,0.00287876285333313,0.0153411614653377,0.0250657461505668,0.332780977020627,0.0829855892135242,0.0108204824476219,0.00376451140234174,0.00894832169353888,0.00573863292534809,0.019693380496593,0.0132205002058912,0.00741277998462091,0.00915790851976376,0.00765594815050003,0.039569615546106,0.0179806164918503,0.00792150658328676,0.00835020097087169,0.00559014455891294,0.00255378002730566,0.00394096773026498,0.00350181012729547,0.00506225109345489,0.000712206363235758,0.00682459473476675,0.00406585169239533,0.00428428117714111,0.0183334958399832,0.0072067902940362,0.00924487386878709,0.0182270513818357,0.0060643456670478,0.00781463954563594,0.0246983500808995,0
"E36",0.00459309905696875,0.000581288204551224,6.5495528309213e-05,0.00254153351608097,0.00110189126557519,0.00161464699064602,0.0017276583554252,0.00300628910566935,0.00023444333447809,0.000617968128771592,0.000605982722515097,0.00110117500106773,0.00299318518047597,0.00215694988146896,0.00892166788518398,0.00036766870678938,0.000341425497050964,0.000237095151404488,0.000160469567878207,0.000114139362307201,0.000655194233903833,0.000423961731919389,0.000453064780458853,0.00407680991751375,0.00770893656040284,0.0183668781937587,0.00130324261899722,0.000162551630775021,0.000149582232275479,0.00027917527174689,0.000457739612949818,7.05259699622004e-05,0.000286241005697921,0.000414271240916676,0.0010567468169393,0.0014487075943725,0.000389973045157497,0.000301174696164321,0.000415865079727888,0.00013072776114925,0.00027828075434618,6.75818649356732e-05,0.000251016205935049,0.000217599330418052,5.56005736590035e-05,0.000139892242378995,0.00150004306543213,5.59644251981301e-05,0.000114638496765634,0.000834100902136433,0.000953744472326815,0.000813282793948143,0.000653945597715817,0.00254971638631026,0
"E37-E39",0.00414867801269855,0.0006262727878182,0.0004939825104523,0.0196073173444915,0.00294334626271066,0.00460168648228643,0.0180811721753645,0.0325035674407083,0.0027884757510674,0.00377490401494609,0.00528561463599969,0.00478740988959717,0.0355082380613991,0.0113795552681073,0.10483791901578,0.00273588739036195,0.00182963977447767,0.00165374253422505,0.0016902200771277,0.00163344901668871,0.00439442237963604,0.00419731559376971,0.00247062166216264,0.0197629576867209,0.078577043766923,0.208207337726255,0.0041981379824741,0.00334247559786314,0.00258369233519079,0.00353968075627765,0.00564205458361585,0.00387556861458632,0.00832528904502204,0.00436391659424664,0.00925671676519728,0.00281864830450835,0.00322173117844452,0.0045132379952673,0.00330332649998368,0.00241309959366448,0.000555242918143091,0.00022170898426674,0.00406761949488774,0.000542740312260416,0.00135699884176231,0.00232963783618187,0.00195950300797886,0.00225464454894276,0.00257521682523556,0.00554287565413049,0.00168962693891783,0.00109334434932291,0.00288991294885034,0.0145135915827743,0
"F",0.0106624178363145,0.0006531077562792,0.000815779259242631,0.00526136150919505,0.00463807646326825,0.00572897822412012,0.00569578084518206,0.00421207084341461,0.0088451529917949,0.0034757337415928,0.0043554483303199,0.0107265812086879,0.00575264939756829,0.00839328294039676,0.0055453358769974,0.00947646724431886,0.0115393824756029,0.00587968814065298,0.00672269252219263,0.0140326767192536,0.0185214382019201,0.00522640435109316,0.00928095608112445,0.00546180091825789,0.0104333067066073,0.00970265810683801,0.231563337170028,0.00607416222989128,0.00778740626074814,0.00558947316458108,0.0114933022898217,0.00464770424470543,0.00898789685725443,0.0129736407222205,0.00551399578479903,0.00714187907892003,0.0181206388069462,0.0103577287133193,0.0155329245491371,0.0092753902428061,0.00436766080991487,0.00225712769898567,0.00635118091476331,0.00568039436504172,0.0124235220103517,0.0155975421880229,0.0106119590547822,0.0167646349944995,0.0132349444916849,0.0111694008293543,0.0183818935130405,0.00559329940992757,0.0142448187603016,0.00577901268753151,0
"G45",0.00118606982821601,0.000813252376019616,0.000671025499048524,0.00259533439615662,0.00217347572195041,0.00190051562033926,0.00204868688221104,0.00241531393532272,0.00240295979630296,0.00292687624277999,0.00121997842093464,0.00196680644872774,0.00411214298644459,0.00482945883658621,0.00199554359501196,0.003614579605364,0.0057768450789924,0.00364091808022825,0.0071391360059508,0.0213614173293617,0.0100210239094491,0.00255294754289758,0.00676190679505884,0.00156828719729909,0.00212719150052988,0.00471049120759542,0.00506269018907615,0.0254926402470473,0.0033431946453369,0.00123535441237894,0.00251290991825275,0.00387892414298894,0.0100014493862941,0.00344981762081424,0.00495123441445705,0.00122481473104126,0.00610825299396308,0.00401527462447677,0.00607445972472003,0.00174401119513246,0.00106103301467112,0.00223847146683034,0.00368980287858347,0.000749664580216275,0.00100937755585613,0.00239894617922082,0.00117891291025773,0.00692045225414971,0.00198600639392392,0.00486772617698943,0.000790605074747908,0.000385469701808854,0.00108701351269566,0.00256805441824803,0
"G46",0.0219081097485885,0.00478092146767549,0.019853136217656,0.0171018463454165,0.0498526693666217,0.0369765704159233,0.0365436990683545,0.0350263493541835,0.0215809132391692,0.0706772383703585,0.0461452947561486,0.0455966042617714,0.0333979665382663,0.05253431339603,0.0465517986364549,0.0300131031876832,0.036066952032563,0.0378639963261631,0.0386419330654647,0.0339238227093163,0.0291598897673086,0.0452999753745325,0.0223153972950728,0.0331241322549155,0.0246890501068501,0.0365683857158287,0.0176639379571046,0.0256526656433042,0.0463426467435801,0.0140605657992863,0.0226079838066982,0.0997364136014779,0.0763570337339897,0.0286169858205105,0.00836730713632959,0.0248599481857809,0.0327748926291689,0.0224775560416436,0.0169789003521358,0.0201485449857331,0.00346171018024109,0.00214269036668623,0.056212784788409,0.00307549795773129,0.00980284415536441,0.00692709249976364,0.00767652551904279,0.202610445478562,0.00930693464632043,0.0323381131932397,0.00327283696457387,0.00204702488949744,0.0120019571784983,0.0139143602181667,0
"G47",0.00519605579819587,0.00133429190602098,0.00651995698585913,0.00230897601511368,0.0233092615234493,0.0135117489389712,0.00644245603278557,0.00763480637756579,0.00634193196866642,0.00324590015409635,0.0106824259190408,0.0257989794699703,0.00376462469312792,0.00492706732377667,0.00228804155109276,0.00567397433652791,0.0129836264391693,0.00791644284334227,0.0101953435091727,0.00784900009734328,0.00845621139570238,0.0149187891116313,0.0051298821780163,0.00258068730366186,0.0047495744789458,0.00300482385484245,0.00354745376150897,0.00843183746801576,0.00839475020737771,0.00473049651248387,0.00446140807107344,0.0141636924535926,0.00648497080437219,0.00367136121765014,0.00390685360404554,0.00736329743184585,0.00877331845454765,0.00711555046939039,0.0081109538538857,0.00323719069501271,0.00204388856645225,0.00115618126905436,0.00278006819933544,0.000543648318643293,0.00204336854201699,0.00192414917630932,0.00449345120148693,0.00846825745441554,0.00312010560662148,0.0055083165636377,0.00113050662690202,0.000772735374564402,0.00495156599023492,0.00507043815461716,0
"H49",0.0165279806472949,0.0164365844652903,0.0174860820254308,0.0413715774077704,0.042905969203826,0.0372104462290496,0.0499420203370087,0.0397961852244912,0.0151549230452633,0.0286264865155139,0.0239246406503172,0.0155223994336674,0.0303189967692211,0.0425556942628472,0.0262425235362352,0.0162476431765323,0.0137680153738516,0.0209287367915195,0.0149918040922362,0.0250243626567722,0.0296530380879006,0.0242417538570984,0.00998382081767424,0.0432804328546284,0.00559002339809194,0.0189971312719221,0.00980752453464489,0.0172156085948585,0.0330285302852857,0.0167360106015526,0.0581055901710807,0.0476079811320899,0.0241654342705223,0.0889358805219413,0.0636924034205507,0.00755730263459292,0.0238656245467443,0.00557730807934991,0.00804293924593914,0.00395337622469974,0.00337444249571007,0.00149915702300791,0.00662911827648614,0.000593274917809514,0.00598879553200223,0.0040654645268819,0.0048398410145438,0.00664387936832973,0.00695454330520829,0.0217177447850387,0.00671021317208673,0.00326012301243491,0.00373213442291976,0.00759292157321384,0
"H50",0.00105380032251251,0.000462634694609086,0.00211758015645675,0.00171329570916666,0.0021891018350022,0.00154658478243131,0.0029058332459109,0.00171181504605977,0.000794099756090151,0.00154217379619596,0.00183732241957869,0.0010018015985535,0.00182032248491654,0.00206385520488133,0.00148585266244691,0.000968553780599542,0.00104731826391196,0.00132840501142946,0.000924108336721464,0.00108929263472044,0.00151380189748868,0.00150595282194373,0.00108409352884254,0.00239976214071235,0.000625869778306806,0.00088588534929491,0.00110611563271428,0.001111321968742,0.00254160826693503,0.00078132959633299,0.00512896061204132,0.00258557681678066,0.00265291914492683,0.00607962177552971,0.00680851431060702,0.000748597804712802,0.00168323757639268,0.00042314119417275,0.00107352003455414,0.000550061187485871,3.583829616834e-05,3.27579709180413e-05,0.000392906947673462,9.64978022595147e-05,0.000450173132337589,0.00038877411446201,0.000475318852648699,0.000250942198753471,0.000668229174502225,0.00165719821915424,0.000323569978593471,0.000173961659349341,0.000483462874924776,0.000494806297773734,0
"H51",0.000101877098827893,0.000142581483821731,0.00118696860172936,0.00267882205093947,0.00105424975026472,0.000862544511494185,0.000388039706182171,0.00166692063902038,0.000569188826628778,0.000707500771266698,0.000374703548416677,0.000886168926301679,0.000812167289503842,0.00131343366733341,0.000830983826806192,0.000525239349327677,0.000637470197497278,0.00105143246209606,0.000634158342853537,0.000692816727213813,0.0019190899568992,0.000688975474366785,0.00054698702606434,0.00729421178238425,0.000641546464415442,0.00171933166066711,0.000830360174087756,0.000819309937721995,0.00209066840190736,0.000891918079874142,0.00943621986668547,0.00231805236580975,0.00391397318524892,0.00992917080409255,0.0373489275346194,0.000454087704953865,0.00479389661436131,0.00159339182948312,0.00111789438946866,0.000896685827476915,0.00332602018998162,0.00103399382607694,0.00018056347027777,7.24316527454775e-05,0.000612748614935449,0.000666969084674055,0.000422957216136355,0.000319963084348348,0.000455773475077745,0.00233950375072909,0.00179296835414665,0.000415216919208951,0.000392180297932998,0.001538658866184,0
"H52",0.00169610387044575,0.00176948368703606,0.00181770457588274,0.00958120609381334,0.00960688838313891,0.0143585084431052,0.00828289735008063,0.00783558888332941,0.00506654075810342,0.0139726965370768,0.00414226611575469,0.00535625688102987,0.011281119361798,0.0113279566302685,0.00696174615668424,0.00608868629118565,0.00389108763378361,0.00624890239345185,0.00501798725661591,0.0033982918398991,0.0132566576706657,0.00856413690710496,0.00806921857380647,0.00637805838898283,0.00192326744883791,0.00287856236245546,0.00963990857030638,0.0200866613253768,0.0363509245192093,0.0137880196203535,0.101903007680536,0.041432409268961,0.0661140839496382,0.174924642023484,0.0123832010109913,0.00345708740792814,0.0127754131114855,0.00222301529363389,0.0201991176796893,0.00680522134067613,0.000778000556542745,0.000438743328365184,0.00266281169342995,0.000790971004682698,0.00256974428911808,0.00163625724043259,0.00363095817335267,0.00205285243023454,0.00507859262747957,0.0218883359439841,0.00119503772176754,0.000555986568609674,0.00060242633216595,0.00286886703309972,0
"H53",0.000167887585748539,0.00103015612715424,0.000177003171238363,0.0010210317501406,0.000892347336900942,0.000759764246647888,0.000852626045416406,0.000717642498928313,0.0017956657204394,0.00143547266545572,0.000331332011802705,0.000385540669882015,0.000739963433324795,0.00107506002886758,0.000641512422171686,0.000541101121074922,0.00054300063546269,0.000507986946345499,0.000373040763611063,0.000289510694392007,0.00104999201824612,0.00077015378202284,0.00092730279853819,0.00375464164996154,0.0101452434716093,0.00775532231660013,0.00299502865346581,0.00193205963124376,0.0012440888784505,0.00211011113263153,0.00137962373354421,0.00071288462464536,0.00082976396298127,0.0025618248390276,0.00591392514651187,0.0024794832203412,0.00414955117224017,0.000547868850564529,0.00948341616521619,0.00145269023254128,0.0048334139122532,0.00125995923062552,0.00170306442853202,0.000403951095362685,0.00138630459177522,0.000962864309236992,0.00204689968166266,0.000186408996412103,0.00293509348057344,0.00449401232179464,0.00220432074467061,0.00189851968380257,0.00145467450628856,0.00443758985569642,0
"I",0.00086984714010444,7.36394056031066e-05,0.00179247428539003,0.00413528793342894,0.00184143454233095,0.00408214765522895,0.00669285929589931,0.00117444714245647,0.00202907662384795,0.00431689409827068,0.000990847381706868,0.00229971613544116,0.0062252260556584,0.00709560115176002,0.00363966123436385,0.00634091376888986,0.00883143473884306,0.00736435001705791,0.00455848697015493,0.00108533578480123,0.00711722360853804,0.0046917724186576,0.0154136177003925,0.011400394563545,0.0055307253905748,0.000774500378721544,0.0141140960832936,0.00966307970027436,0.00910036653872632,0.00548979594327039,0.00465010084089454,0.00203174480767686,0.00550880725353428,0.00404817966296931,0.000789932576252724,0.00620340386647377,0.00627727084334103,0.00413065675276677,0.0154747886646161,0.00728529688136442,0.000492882659226712,0.000569655563403209,0.0053228820480177,0.00165466314515028,0.00557428762178036,0.00385823232257525,0.00503447794683401,0.000281332433196755,0.0110874126285773,0.0197362189004178,0.00242353018847465,0.00415864320353222,0.00853377988840385,0.00685573761640189,0
"J58",2.84004532527373e-05,0.000262701392011309,1.10642861813079e-05,0.000539846745077483,0.00104878962769937,0.00104968235221167,0.000743965251387205,0.00180057237304023,0.00436533290009441,0.000451345654394521,0.000257937742135072,0.00114108195294804,0.000993102725548165,0.000932644943910647,0.0005553092404748,0.000897608672915489,0.000886474661363393,0.000812112870450349,0.000490287591422303,0.000241414464245856,0.00232091587531456,0.00179376286422486,0.00130500964242952,0.000651841362435761,0.00184038014741578,0.00200708903824345,0.00117584239130472,0.00258759006565381,0.00174645341725166,0.00202389485901665,0.000455915442717051,0.000222834620487594,0.00169215243465711,0.000661770822519062,0.000438955280321102,0.00108765903010864,0.01901753893573,0.00133478119379375,0.00729833150708835,0.00305041681922152,0.000413798070332899,0.000275808317218674,0.000594802721700702,0.00023998010640526,0.0011887075686886,0.000811854920390528,0.00277937815618043,0.00423154713216311,0.00226584404100839,0.00396008855831518,0.000651551635034089,0.000535372602156773,0.000453736312555762,0.00183347379558033,0
